crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
1.6894,80.0,10.06,0,0.614,7.177,16.9,2.4874,1,587.0,20.9,289.82,14.22,18.3
10.8364,25.0,11.73,0,0.392,6.547,79.0,8.0195,20,237.0,21.6,142.2,15.87,6.9
4.7403,40.0,19.67,0,0.522,6.394,43.6,4.1932,12,287.0,19.7,25.66,34.02,5.4
3.2866,35.0,16.77,0,0.407,6.275,51.5,10.5128,23,557.0,16.8,29.8,31.22,5.0
0.6106,85.0,13.0,0,0.403,5.311,79.1,11.3422,11,237.0,18.2,46.07,27.64,5.0
0.6105,20.0,2.57,0,0.519,6.954,61.0,12.0904,7,627.0,19.2,345.22,10.75,7.3
0.2154,60.0,2.62,0,0.519,5.732,22.4,9.8861,15,287.0,14.4,187.6,34.72,5.0
7.2404,75.0,0.56,0,0.768,5.524,60.2,9.4211,22,317.0,16.8,283.03,7.33,8.8
3.3087,35.0,26.82,0,0.859,6.9,42.5,3.5005,24,197.0,20.4,156.14,24.44,5.0
4.4325,0.0,0.64,0,0.565,6.832,48.5,4.8261,11,577.0,18.8,102.92,2.77,18.9
0.0749,0.0,3.3,1,0.593,6.335,5.6,6.2525,22,207.0,16.5,138.01,25.06,7.3
12.6128,85.0,9.06,0,0.796,7.036,23.3,9.6372,16,707.0,18.8,315.28,11.77,8.1
6.4311,95.0,22.46,0,0.515,7.278,30.2,11.1946,3,527.0,13.7,248.27,18.03,15.1
0.8593,65.0,26.67,0,0.461,7.196,72.1,3.2105,20,507.0,16.4,372.17,14.24,21.8
0.7224,95.0,21.99,0,0.8,5.91,4.0,11.276,14,417.0,20.1,269.88,7.99,5.0
0.7294,75.0,19.28,0,0.408,6.99,42.6,8.7819,3,367.0,14.7,226.44,24.27,16.1
1.3059,0.0,14.68,0,0.686,6.428,92.6,7.8485,1,357.0,14.3,242.31,33.69,5.0
2.6781,20.0,2.86,0,0.658,7.488,13.8,3.3283,21,667.0,21.5,374.05,36.49,5.0
2.0359,55.0,26.56,0,0.553,6.193,53.0,1.7408,15,697.0,14.6,312.9,8.7,21.6
1.2392,25.0,21.13,0,0.538,6.03,79.3,7.3831,1,417.0,15.1,9.85,27.73,5.9
3.4069,0.0,17.88,0,0.76,5.85,94.4,8.2967,17,627.0,21.7,212.15,25.81,5.0
0.5408,90.0,21.15,0,0.427,6.413,75.4,3.4486,2,527.0,19.5,273.3,14.17,22.0
1.2439,40.0,20.2,0,0.5,6.607,72.9,7.251,20,187.0,19.2,297.24,2.42,19.4
1.6426,95.0,17.83,0,0.741,6.62,83.2,10.5514,6,537.0,20.6,84.85,26.73,5.0
2.1922,35.0,27.17,0,0.651,6.524,46.2,10.3157,8,427.0,13.7,344.23,35.99,5.0
5.5366,35.0,25.07,0,0.447,6.75,81.1,11.3309,16,627.0,19.2,379.39,24.64,5.0
0.8018,40.0,18.09,0,0.814,6.124,3.7,5.1547,19,667.0,17.3,94.2,17.51,5.0
2.5993,25.0,19.35,0,0.576,5.669,92.7,4.6285,1,607.0,20.4,350.35,20.76,7.1
3.231,35.0,1.9,1,0.787,5.608,45.9,9.3737,3,517.0,17.4,38.78,8.96,6.5
0.1712,35.0,18.72,0,0.768,6.963,56.6,5.8722,3,427.0,18.4,22.41,28.93,5.0
3.3672,60.0,1.7,0,0.688,6.609,27.6,2.093,5,337.0,17.1,51.57,28.78,12.7
0.6731,60.0,16.5,0,0.625,4.981,75.0,4.2408,12,517.0,17.1,23.22,7.0,15.8
0.2422,95.0,27.68,0,0.861,7.048,10.3,5.7344,12,467.0,19.8,335.43,33.55,5.0
10.7053,80.0,15.62,0,0.455,7.596,87.6,4.3477,20,367.0,18.5,23.74,11.49,23.9
12.1343,55.0,13.37,0,0.737,5.779,83.3,4.7843,13,407.0,18.6,108.06,37.33,5.0
5.9484,80.0,9.01,0,0.478,6.515,23.9,4.3615,20,367.0,16.8,41.47,15.61,19.7
1.3078,0.0,3.78,0,0.549,5.949,81.5,1.5865,9,427.0,17.6,117.48,8.18,19.2
0.37,75.0,20.38,0,0.535,6.72,79.3,8.138,7,337.0,19.6,36.23,14.48,11.7
4.1499,75.0,5.74,0,0.845,5.464,64.3,7.7002,4,687.0,20.4,265.24,17.68,5.0
2.0883,30.0,3.64,0,0.855,6.23,39.2,8.3172,19,267.0,19.1,53.19,4.24,5.7
0.4685,0.0,11.97,0,0.474,6.967,29.3,3.2454,22,187.0,21.3,338.15,22.68,14.1
2.4608,95.0,22.13,0,0.396,7.145,25.4,4.3822,19,597.0,20.3,324.4,23.39,12.3
0.126,50.0,20.77,0,0.735,6.579,33.8,7.9458,6,367.0,17.9,5.74,28.51,5.0
8.6415,20.0,1.99,0,0.588,6.043,90.6,7.7259,13,507.0,18.9,355.55,2.79,9.1
1.078,50.0,12.88,1,0.428,5.165,10.4,6.6996,11,517.0,21.3,11.8,21.34,5.0
3.9105,45.0,14.71,0,0.717,5.75,83.4,4.9845,13,337.0,18.4,95.36,3.65,16.1
1.3448,20.0,18.03,0,0.65,5.952,36.8,11.1722,13,617.0,20.4,13.16,27.14,5.0
2.6428,25.0,18.18,0,0.862,5.792,53.5,4.8675,22,577.0,19.1,133.51,3.75,5.0
2.8484,70.0,10.42,0,0.496,6.322,80.0,6.1418,20,357.0,17.8,204.11,34.77,5.4
0.7358,0.0,15.75,0,0.581,6.041,88.8,8.5893,15,517.0,14.9,316.25,27.17,5.0
12.5741,70.0,13.58,0,0.649,6.4,36.4,7.1032,21,427.0,16.6,134.36,20.12,7.2
5.3721,35.0,24.57,0,0.77,7.122,47.7,4.9457,13,627.0,21.7,280.1,17.73,5.0
10.0983,95.0,14.92,0,0.652,5.995,43.1,5.9221,22,237.0,18.8,74.68,6.47,17.2
8.1077,90.0,12.5,0,0.683,5.312,4.2,9.8693,11,387.0,17.9,297.99,12.28,5.0
3.2798,85.0,11.5,0,0.495,5.789,31.6,4.1894,19,237.0,21.4,93.91,33.22,5.0
9.178,85.0,16.07,0,0.797,6.689,47.5,2.6948,8,497.0,18.1,57.25,34.51,6.5
0.3336,35.0,22.37,0,0.593,6.755,42.8,4.5748,20,587.0,17.5,73.85,1.76,17.2
0.7853,80.0,15.14,0,0.454,6.564,73.0,10.4749,8,657.0,19.7,72.52,23.26,5.0
0.1666,20.0,18.5,0,0.708,7.191,40.3,2.1089,10,607.0,19.3,203.71,27.8,6.2
1.4167,65.0,20.57,0,0.49,6.15,50.4,12.0387,16,567.0,14.4,335.35,24.15,5.0
1.7717,45.0,14.65,0,0.432,7.717,44.6,7.081,19,487.0,17.0,31.89,4.69,16.1
1.1396,40.0,12.11,0,0.804,6.853,74.8,11.9633,23,597.0,17.0,280.68,9.62,5.0
6.3524,20.0,24.35,0,0.609,4.514,86.7,11.459,11,277.0,16.2,259.82,10.8,5.0
1.5884,40.0,11.86,0,0.749,7.54,54.5,6.111,13,477.0,17.5,346.34,31.87,6.3
1.1873,20.0,13.06,0,0.526,5.743,79.6,3.3134,9,697.0,16.5,97.14,18.52,7.4
2.8167,85.0,27.44,0,0.767,5.556,31.7,2.9437,20,357.0,14.5,178.82,19.37,9.4
0.5468,20.0,0.51,0,0.439,6.647,55.5,3.7699,24,417.0,16.5,367.48,35.61,6.7
5.8337,40.0,5.54,0,0.558,5.063,36.4,8.9415,19,697.0,13.3,262.06,24.82,5.0
0.2789,0.0,10.94,0,0.86,5.793,43.1,4.1324,16,267.0,18.0,154.5,34.3,5.0
15.6029,85.0,25.87,0,0.771,7.37,74.0,4.8857,7,487.0,20.6,52.44,18.27,8.9
5.3261,60.0,2.4,0,0.627,6.669,88.5,6.0666,19,327.0,19.4,104.42,7.15,15.6
0.7975,95.0,0.76,0,0.55,6.849,14.7,11.1756,12,217.0,16.0,230.82,35.43,5.0
0.0199,35.0,1.93,0,0.809,5.82,64.5,3.2133,15,577.0,13.4,285.13,18.35,12.0
6.0836,30.0,2.91,0,0.65,5.203,59.4,1.1853,23,267.0,14.5,49.66,8.31,16.1
4.4175,60.0,1.52,0,0.754,6.775,14.4,1.7911,14,627.0,17.7,238.11,12.69,15.8
4.7004,95.0,13.55,0,0.751,6.931,23.5,11.0824,11,267.0,14.5,218.58,3.57,14.3
5.3108,60.0,16.3,0,0.394,6.899,33.1,8.2527,10,437.0,17.7,204.14,18.7,10.1
0.2769,95.0,7.89,0,0.446,6.426,19.1,4.1334,11,217.0,14.8,274.01,32.65,17.2
1.598,35.0,11.33,0,0.706,5.603,26.6,3.0791,6,347.0,20.6,332.44,35.56,5.0
0.4433,20.0,2.99,0,0.464,7.986,28.9,4.3669,2,337.0,16.3,128.41,35.53,18.3
7.1587,40.0,9.65,0,0.509,6.616,35.5,2.3928,11,327.0,14.9,352.88,6.27,28.3
3.5147,20.0,14.71,0,0.845,6.158,75.7,11.4869,19,527.0,20.2,64.02,15.58,5.0
1.4465,75.0,20.42,0,0.657,6.161,58.4,9.7563,6,697.0,15.8,68.94,2.75,11.8
0.2364,65.0,0.59,0,0.75,6.385,98.7,6.2163,14,227.0,13.6,106.12,32.72,5.0
1.341,65.0,13.21,0,0.656,7.029,43.2,10.6446,20,227.0,18.0,47.72,14.73,5.7
1.4159,90.0,8.58,0,0.654,6.413,76.1,3.874,6,377.0,18.1,91.66,24.6,6.9
4.7084,65.0,23.7,0,0.431,6.881,87.5,9.0183,17,327.0,19.3,42.52,27.64,5.0
3.6536,85.0,19.96,0,0.552,6.386,68.8,10.5475,10,357.0,14.9,326.21,17.31,8.6
7.8561,90.0,16.52,0,0.522,6.201,42.9,5.0545,1,647.0,16.8,55.43,12.84,12.7
2.3006,65.0,8.04,0,0.575,6.729,76.1,9.4621,3,197.0,15.3,296.68,36.6,8.6
0.4585,90.0,25.26,0,0.773,6.702,22.7,4.3758,8,467.0,13.4,19.32,36.68,8.0
4.4969,50.0,1.73,0,0.566,6.161,34.7,4.4174,8,307.0,20.8,376.48,12.22,18.6
5.1494,30.0,3.48,0,0.605,5.756,56.0,2.3076,20,217.0,19.5,282.35,19.11,13.0
2.966,50.0,11.15,0,0.578,6.519,58.8,5.9706,22,597.0,15.4,3.02,36.99,5.0
5.306,30.0,3.88,0,0.43,6.335,5.0,9.1568,15,627.0,18.2,303.25,1.91,12.9
2.4509,25.0,26.51,0,0.599,5.892,94.7,11.4724,24,277.0,14.5,204.19,16.69,5.0
2.6628,25.0,22.21,0,0.48,5.69,70.5,7.7718,7,487.0,21.0,309.4,5.37,5.3
2.0081,35.0,7.54,0,0.476,6.567,51.0,10.6245,11,587.0,13.7,207.53,20.18,5.4
0.0927,60.0,16.51,0,0.431,6.665,93.5,10.1774,7,257.0,12.6,254.54,2.62,22.5
0.411,40.0,27.22,0,0.558,6.028,45.5,3.0368,4,207.0,17.3,312.16,16.48,18.9
0.115,0.0,24.55,0,0.753,5.874,98.1,6.474,12,657.0,18.1,160.98,9.73,8.8
3.6422,35.0,16.84,0,0.519,5.699,52.6,2.4162,6,637.0,18.0,1.39,21.06,8.3
1.3586,55.0,25.08,0,0.537,6.548,14.0,8.6337,14,267.0,13.1,337.39,37.82,5.0
2.5576,70.0,27.41,0,0.697,5.717,77.2,11.5789,12,477.0,15.6,151.37,30.74,5.0
8.5726,80.0,20.72,0,0.48,7.849,68.8,2.638,11,707.0,17.3,197.04,32.38,15.0
1.0323,20.0,2.27,0,0.821,5.993,78.0,9.2027,19,287.0,14.6,3.4,24.75,5.0
1.9018,95.0,11.42,0,0.638,4.582,95.3,8.0846,21,527.0,20.8,195.47,3.24,7.9
5.0715,80.0,23.29,0,0.603,6.259,78.3,7.5497,5,547.0,13.4,391.54,9.22,17.7
0.9353,75.0,6.77,0,0.656,6.229,62.3,5.4213,14,597.0,17.2,110.68,35.25,5.0
0.2884,55.0,23.09,0,0.466,7.058,86.1,5.0364,21,307.0,19.1,157.13,15.0,17.6
1.2317,85.0,3.77,0,0.683,6.482,68.3,1.6277,24,537.0,15.1,272.85,5.49,21.4
0.6329,85.0,1.78,0,0.561,5.696,42.5,3.527,16,307.0,18.5,323.45,27.19,12.0
9.5578,65.0,10.95,0,0.821,6.08,88.9,1.2969,13,297.0,20.4,165.85,12.58,16.1
5.9432,90.0,1.5,0,0.467,6.509,24.4,7.5256,22,547.0,14.4,123.13,11.47,15.1
3.6126,95.0,26.54,0,0.631,4.765,72.3,2.2944,22,277.0,21.2,372.24,37.9,5.0
7.3855,30.0,22.97,0,0.676,7.217,88.5,10.7332,20,267.0,17.8,268.86,32.83,5.0
5.8607,0.0,22.28,0,0.401,5.698,73.9,6.8846,22,697.0,15.4,47.52,16.51,5.0
0.7434,50.0,17.63,0,0.562,7.272,70.6,8.8266,4,247.0,16.7,27.66,37.25,5.6
8.0309,95.0,6.38,0,0.741,6.555,76.0,5.6494,11,197.0,15.5,192.09,25.29,15.1
2.7904,25.0,14.6,0,0.784,6.721,48.1,7.2964,17,407.0,19.4,87.6,28.62,5.0
5.9305,85.0,16.75,0,0.537,7.085,87.8,11.4993,7,567.0,20.1,101.05,2.87,12.6
8.1513,85.0,14.78,0,0.773,6.681,22.7,2.0401,14,577.0,20.4,348.4,6.14,21.7
